source,cell,rows,cols,mux,op,corner,temp,vdd,T,mc,tclk_wlen,tclk_dec,trestore,access,low,high,wave,failed
v202_sweep,6T,64,64,0,read,TT,25.0,1.0,1e-08,1,132.7,220.7,266.4,382.1,514.8,266.4,True,
v202_sweep,6T,64,64,0,write,TT,25.0,1.0,1e-08,1,153.3,240.9,284.4,107.9,261.2,284.4,True,
v202_sweep,6T,64,64,1,read,TT,25.0,1.0,1e-08,1,132.7,220.7,262.7,366.5,499.2,262.7,True,
v202_sweep,6T,64,64,1,write,TT,25.0,1.0,1e-08,1,153.3,241.0,283.8,108.2,261.5,283.8,True,
v202_sweep,6T,6,6,0,read,TT,25.0,1.0,1e-08,1,119.2,166.5,255.3,290.0,409.3,255.3,True,
v202_sweep,6T,6,6,0,write,TT,25.0,1.0,1e-08,1,123.3,170.5,227.6,129.6,252.9,227.6,True,
v202_sweep,6T,6,6,1,read,TT,25.0,1.0,1e-08,1,119.2,166.5,275.9,288.5,407.7,275.9,True,
v202_sweep,6T,6,6,1,write,TT,25.0,1.0,1e-08,1,123.3,170.5,229.3,148.3,271.6,229.3,True,
v202_sweep,6T,8,4,0,read,TT,25.0,1.0,1e-08,1,119.5,169.0,246.8,290.8,410.3,246.8,True,
v202_sweep,6T,8,4,0,write,TT,25.0,1.0,1e-08,1,122.2,172.0,219.0,130.8,253.0,219.0,True,
v202_sweep,6T,8,4,1,read,TT,25.0,1.0,1e-08,1,119.5,169.0,269.1,289.6,409.2,269.1,True,
v202_sweep,6T,8,4,1,write,TT,25.0,1.0,1e-08,1,122.2,172.0,220.4,149.0,271.3,220.4,True,
v202_sweep,6T,8,512,0,read,TT,25.0,1.0,1e-08,1,124.7,189.4,306.6,350.3,475.0,306.6,True,
v202_sweep,6T,8,512,0,write,TT,25.0,1.0,1e-08,1,288.8,347.7,428.7,202.1,491.0,428.7,True,
v202_sweep,6T,8,512,1,read,TT,25.0,1.0,1e-08,1,124.6,189.4,321.9,345.4,469.9,321.9,True,
v202_sweep,6T,8,512,1,write,TT,25.0,1.0,1e-08,1,288.8,347.6,429.8,213.8,502.6,429.8,True,
