Index        {U}              V(V1)             V(V2)      
351     -3.59000000e-01    9.47580677e-01    4.31482126e-01
352     -3.58000000e-01    9.47314477e-01    4.31476422e-01
353     -3.57000000e-01    9.47041262e-01    4.31480410e-01
354     -3.56000000e-01    9.46761059e-01    4.31494142e-01
355     -3.55000000e-01    9.46473893e-01    4.31517667e-01
356     -3.54000000e-01    9.46179791e-01    4.31551034e-01
357     -3.53000000e-01    9.45878781e-01    4.31594290e-01
358     -3.52000000e-01    9.45570890e-01    4.31647480e-01
359     -3.51000000e-01    9.45256145e-01    4.31710652e-01
360     -3.50000000e-01    9.44934573e-01    4.31783846e-01
361     -3.49000000e-01    9.44606203e-01    4.31867107e-01
362     -3.48000000e-01    9.44271064e-01    4.31960474e-01
363     -3.47000000e-01    9.43929183e-01    4.32063986e-01
364     -3.46000000e-01    9.43580589e-01    4.32177679e-01
365     -3.45000000e-01    9.43225313e-01    4.32301591e-01
366     -3.44000000e-01    9.42863383e-01    4.32435752e-01
367     -3.43000000e-01    9.42494829e-01    4.32580196e-01
368     -3.42000000e-01    9.42119683e-01    4.32734950e-01
369     -3.41000000e-01    9.41737975e-01    4.32900041e-01
370     -3.40000000e-01    9.41349736e-01    4.33075493e-01
371     -3.39000000e-01    9.40954998e-01    4.33261328e-01
372     -3.38000000e-01    9.40553793e-01    4.33457564e-01
373     -3.37000000e-01    9.40146155e-01    4.33664218e-01
374     -3.36000000e-01    9.39732116e-01    4.33881302e-01
375     -3.35000000e-01    9.39311710e-01    4.34108826e-01
376     -3.34000000e-01    9.38884973e-01    4.34346796e-01
377     -3.33000000e-01    9.38451939e-01    4.34595216e-01
378     -3.32000000e-01    9.38012644e-01    4.34854084e-01
379     -3.31000000e-01    9.37567125e-01    4.35123395e-01
380     -3.30000000e-01    9.37115419e-01    4.35403143e-01
381     -3.29000000e-01    9.36657564e-01    4.35693313e-01
382     -3.28000000e-01    9.36193599e-01    4.35993888e-01
383     -3.27000000e-01    9.35723564e-01    4.36304848e-01
384     -3.26000000e-01    9.35247500e-01    4.36626167e-01
385     -3.25000000e-01    9.34765447e-01    4.36957812e-01
386     -3.24000000e-01    9.34277448e-01    4.37299750e-01
387     -3.23000000e-01    9.33783548e-01    4.37651938e-01
388     -3.22000000e-01    9.33283789e-01    4.38014330e-01
389     -3.21000000e-01    9.32778218e-01    4.38386876e-01
390     -3.20000000e-01    9.32266881e-01    4.38769519e-01
391     -3.19000000e-01    9.31749825e-01    4.39162195e-01
392     -3.18000000e-01    9.31227100e-01    4.39564836e-01
393     -3.17000000e-01    9.30698754e-01    4.39977370e-01
394     -3.16000000e-01    9.30164840e-01    4.40399715e-01
395     -3.15000000e-01    9.29625409e-01    4.40831787e-01
396     -3.14000000e-01    9.29080515e-01    4.41273494e-01
397     -3.13000000e-01    9.28530211e-01    4.41724739e-01
398     -3.12000000e-01    9.27974555e-01    4.42185418e-01
399     -3.11000000e-01    9.27413603e-01    4.42655424e-01
400     -3.10000000e-01    9.26847413e-01    4.43134641e-01
401     -3.09000000e-01    9.26276045e-01    4.43622949e-01
402     -3.08000000e-01    9.25699559e-01    4.44120224e-01
403     -3.07000000e-01    9.25118018e-01    4.44626334e-01
404     -3.06000000e-01    9.24531484e-01    4.45141144e-01
405     -3.05000000e-01    9.23940022e-01    4.45664513e-01
406     -3.04000000e-01    9.23343697e-01    4.46196297e-01
407     -3.03000000e-01    9.22742576e-01    4.46736346e-01
408     -3.02000000e-01    9.22136726e-01    4.47284507e-01
409     -3.01000000e-01    9.21526216e-01    4.47840623e-01
410     -3.00000000e-01    9.20911115e-01    4.48404533e-01
411     -2.99000000e-01    9.20291494e-01    4.48976076e-01
412     -2.98000000e-01    9.19667424e-01    4.49555084e-01
413     -2.97000000e-01    9.19038978e-01    4.50141391e-01
414     -2.96000000e-01    9.18406227e-01    4.50734826e-01
415     -2.95000000e-01    9.17769247e-01    4.51335218e-01
416     -2.94000000e-01    9.17128110e-01    4.51942395e-01
417     -2.93000000e-01    9.16482891e-01    4.52556185e-01
418     -2.92000000e-01    9.15833666e-01    4.53176413e-01
419     -2.91000000e-01    9.15180509e-01    4.53802907e-01
420     -2.90000000e-01    9.14523496e-01    4.54435494e-01
421     -2.89000000e-01    9.13862704e-01    4.55074003e-01
422     -2.88000000e-01    9.13198207e-01    4.55718263e-01
423     -2.87000000e-01    9.12530081e-01    4.56368105e-01
424     -2.86000000e-01    9.11858403e-01    4.57023362e-01
425     -2.85000000e-01    9.11183247e-01    4.57683868e-01
426     -2.84000000e-01    9.10504689e-01    4.58349460e-01
427     -2.83000000e-01    9.09822804e-01    4.59019978e-01
428     -2.82000000e-01    9.09137666e-01    4.59695264e-01
429     -2.81000000e-01    9.08449348e-01    4.60375164e-01
430     -2.80000000e-01    9.07757925e-01    4.61059526e-01
431     -2.79000000e-01    9.07063469e-01    4.61748202e-01
432     -2.78000000e-01    9.06366051e-01    4.62441046e-01
433     -2.77000000e-01    9.05665743e-01    4.63137917e-01
434     -2.76000000e-01    9.04962615e-01    4.63838678e-01
435     -2.75000000e-01    9.04256737e-01    4.64543193e-01
436     -2.74000000e-01    9.03548176e-01    4.65251333e-01
437     -2.73000000e-01    9.02836999e-01    4.65962971e-01
438     -2.72000000e-01    9.02123274e-01    4.66677983e-01
439     -2.71000000e-01    9.01407065e-01    4.67396250e-01
440     -2.70000000e-01    9.00688435e-01    4.68117657e-01
441     -2.69000000e-01    8.99967449e-01    4.68842091e-01
442     -2.68000000e-01    8.99244167e-01    4.69569445e-01
443     -2.67000000e-01    8.98518650e-01    4.70299613e-01
444     -2.66000000e-01    8.97790957e-01    4.71032494e-01
445     -2.65000000e-01    8.97061146e-01    4.71767990e-01
446     -2.64000000e-01    8.96329273e-01    4.72506008e-01
447     -2.63000000e-01    8.95595394e-01    4.73246457e-01
448     -2.62000000e-01    8.94859563e-01    4.73989248e-01
449     -2.61000000e-01    8.94121832e-01    4.74734298e-01
450     -2.60000000e-01    8.93382254e-01    4.75481525e-01
451     -2.59000000e-01    8.92640878e-01    4.76230851e-01
452     -2.58000000e-01    8.91897753e-01    4.76982201e-01
453     -2.57000000e-01    8.91152927e-01    4.77735501e-01
454     -2.56000000e-01    8.90406447e-01    4.78490683e-01
455     -2.55000000e-01    8.89658358e-01    4.79247680e-01
456     -2.54000000e-01    8.88908703e-01    4.80006426e-01
